"Story","Title","Result","Date","Stability","Duration (s)"
"Cliente Falabella","Compra de un articulo con garantia extendida en firefox","SUCCESS","2023-03-05T02:36:00.5384008-05:00[America/Bogota]","0.0","27.09"
"Cliente Falabella","Compra de un articulo con garantia extendida en chrome","SUCCESS","2023-03-05T02:36:00.5464006-05:00[America/Bogota]","0.0","32.79"
"CRUD Regresin","Consultar una pagina de usuarios","SUCCESS","2023-03-05T04:57:10.739386-05:00[America/Bogota]","0.0","2.72"
"CRUD Regresin","Consultar un usuario aleatoriamente","SUCCESS","2023-03-05T04:57:13.4655079-05:00[America/Bogota]","0.0","0.54"
"CRUD Regresin","Resultados de la consulta no encontrados","SUCCESS","2023-03-05T04:57:14.0096078-05:00[America/Bogota]","0.0","0.51"
"CRUD Regresin","Consultar lista de recursos","SUCCESS","2023-03-05T04:57:14.5258575-05:00[America/Bogota]","0.0","0.29"
"CRUD Regresin","Consultar un recurso aleatoriamente","SUCCESS","2023-03-05T04:57:14.8150405-05:00[America/Bogota]","0.0","0.52"
"CRUD Regresin","Resultados de la consulta de recursos no encontrados","SUCCESS","2023-03-05T04:57:15.3384863-05:00[America/Bogota]","0.0","0.51"
"CRUD Regresin","Crear usuario aleatoriamente","SUCCESS","2023-03-05T04:57:15.8488619-05:00[America/Bogota]","0.0","0.63"
"CRUD Regresin","Actualizar usuario aleatoriamente","SUCCESS","2023-03-05T04:57:16.4867356-05:00[America/Bogota]","0.0","0.53"
"CRUD Regresin","Actualizar usuario aleatoriamente con metodo patch","SUCCESS","2023-03-05T04:57:17.0210795-05:00[America/Bogota]","0.0","0.53"
"CRUD Regresin","Eliminar usuario aleatoriamente","SUCCESS","2023-03-05T04:57:17.5588342-05:00[America/Bogota]","0.0","0.52"
